Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/security.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/security.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/security.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/keychaindeployments,GET,com.nokia.eda.security.v1alpha1.KeychainDeploymentList,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/keychains,GET,com.nokia.eda.security.v1alpha1.KeychainList,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments,DELETE,com.nokia.eda.security.v1alpha1.KeychainDeploymentList,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments,GET,com.nokia.eda.security.v1alpha1.KeychainDeploymentList,keychain_deployment_list,true,true,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments,POST,com.nokia.eda.security.v1alpha1.KeychainDeployment,keychain_deployment,true,false,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/_deleted,GET,com.nokia.eda.security.v1alpha1.KeychainDeployment_DeletedResources,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/{name},DELETE,Status,keychain_deployment,true,false,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/{name},GET,com.nokia.eda.security.v1alpha1.KeychainDeployment,keychain_deployment,true,true,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/{name},PATCH,Patch,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/{name},PUT,com.nokia.eda.security.v1alpha1.KeychainDeployment,keychain_deployment,true,false,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychaindeployments/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains,DELETE,com.nokia.eda.security.v1alpha1.KeychainList,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains,GET,com.nokia.eda.security.v1alpha1.KeychainList,keychain_list,true,true,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains,POST,com.nokia.eda.security.v1alpha1.Keychain,keychain,true,false,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/_deleted,GET,com.nokia.eda.security.v1alpha1.Keychain_DeletedResources,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/{name},DELETE,Status,keychain,true,false,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/{name},GET,com.nokia.eda.security.v1alpha1.Keychain,keychain,true,true,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/{name},PATCH,Patch,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/{name},PUT,com.nokia.eda.security.v1alpha1.Keychain,keychain,true,false,true
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/security.eda.nokia.com/v1alpha1/namespaces/{namespace}/keychains/{name}/_topology,GET,ResourceTopology,,false,false,false
